"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Ethnicity_Group","Count"
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",2
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"American Indian or Alaskan Native",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Asian, Asian American, Filipino",6
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Black or African American",46
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Hispanic or Latin(a/o), or Latinx",8
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Arab and other Middle Eastern American",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Pacific Islander or Native Hawaiian",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"South Asian, Indian, or Desi",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"White, European, or Caucasian",11
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Two or More",29
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Others",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Decline to state",6
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"American Indian or Alaskan Native",2
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Asian, Asian American, Filipino",3
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Black or African American",11
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Hispanic or Latin(a/o), or Latinx",68
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Arab and other Middle Eastern American",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Pacific Islander or Native Hawaiian",1
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"South Asian, Indian, or Desi",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"White, European, or Caucasian",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Two or More",4
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Others",2
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Decline to state",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"American Indian or Alaskan Native",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Asian, Asian American, Filipino",5
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Black or African American",143
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Hispanic or Latin(a/o), or Latinx",8
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Arab and other Middle Eastern American",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Pacific Islander or Native Hawaiian",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"South Asian, Indian, or Desi",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"White, European, or Caucasian",1
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Two or More",29
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Others",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Decline to state",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"American Indian or Alaskan Native",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Asian, Asian American, Filipino",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Black or African American",39
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Hispanic or Latin(a/o), or Latinx",4
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Arab and other Middle Eastern American",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Pacific Islander or Native Hawaiian",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"South Asian, Indian, or Desi",1
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"White, European, or Caucasian",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Two or More",3
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Others",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Decline to state",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"American Indian or Alaskan Native",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"Asian, Asian American, Filipino",2
