Survey Question,Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Open-Ended Response
How much do you earn per hour?,118766368992,456136887,12/17/2024 08:38:01 PM,12/17/2024 08:42:03 PM,67.169.157.11,NA,NA,NA,NA,NA
How much do you earn per hour?,118766282455,456136887,12/17/2024 05:22:28 PM,12/17/2024 05:26:57 PM,104.28.123.70,NA,NA,NA,NA,NA
How much do you earn per hour?,118766281985,456136887,12/17/2024 05:19:37 PM,12/17/2024 05:25:37 PM,50.235.136.171,NA,NA,NA,NA,$0 i don't get paid by the hour and internships with lump sum payment are my only income at the moment.
How much do you earn per hour?,118766280439,456136887,12/17/2024 05:19:02 PM,12/17/2024 05:21:27 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118766279480,456136887,12/17/2024 05:15:18 PM,12/17/2024 05:19:40 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118766275276,456136887,12/17/2024 05:08:34 PM,12/17/2024 05:16:34 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118766276367,456136887,12/17/2024 05:11:12 PM,12/17/2024 05:14:41 PM,169.197.142.84,NA,NA,NA,NA,NA
How much do you earn per hour?,118766276538,456136887,12/17/2024 05:12:06 PM,12/17/2024 05:13:55 PM,50.235.136.171,NA,NA,NA,NA,$450 total
How much do you earn per hour?,118766271528,456136887,12/17/2024 05:02:14 PM,12/17/2024 05:05:06 PM,174.194.195.223,NA,NA,NA,NA,450 dollars total salary
How much do you earn per hour?,118766253579,456136887,12/17/2024 04:26:46 PM,12/17/2024 04:31:46 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118766251766,456136887,12/17/2024 04:23:44 PM,12/17/2024 04:27:35 PM,50.235.136.171,NA,NA,NA,NA,Not sure
How much do you earn per hour?,118766251765,456136887,12/17/2024 04:24:08 PM,12/17/2024 04:27:24 PM,50.235.136.171,NA,NA,NA,NA,450
How much do you earn per hour?,118766250573,456136887,12/17/2024 04:22:08 PM,12/17/2024 04:24:24 PM,50.235.136.171,NA,NA,NA,NA,We got a stipend of $450
How much do you earn per hour?,118766250368,456136887,12/17/2024 04:20:50 PM,12/17/2024 04:23:19 PM,172.56.46.164,NA,NA,NA,NA,NA
How much do you earn per hour?,118766246103,456136887,12/17/2024 04:12:30 PM,12/17/2024 04:16:03 PM,172.59.131.235,NA,NA,NA,NA,NA
How much do you earn per hour?,118766246216,456136887,12/17/2024 04:13:09 PM,12/17/2024 04:15:56 PM,50.235.136.171,NA,NA,NA,NA,$450 for the entire program
How much do you earn per hour?,118766214296,456136887,12/17/2024 02:44:38 PM,12/17/2024 03:17:22 PM,76.132.54.205,NA,NA,NA,NA,NA
How much do you earn per hour?,118766194038,456136887,12/17/2024 02:44:38 PM,12/17/2024 02:45:10 PM,76.132.54.205,NA,NA,NA,NA,NA
How much do you earn per hour?,118765430910,456136887,12/16/2024 06:00:54 PM,12/16/2024 08:32:06 PM,172.59.129.101,NA,NA,NA,NA,NA
How much do you earn per hour?,118765373706,456136887,12/16/2024 06:00:54 PM,12/16/2024 06:01:29 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118765360437,456136887,12/16/2024 05:29:58 PM,12/16/2024 05:36:03 PM,174.194.199.132,NA,NA,NA,NA,16.15
How much do you earn per hour?,118765360661,456136887,12/16/2024 05:30:29 PM,12/16/2024 05:35:33 PM,50.235.136.171,NA,NA,NA,NA,15
How much do you earn per hour?,118765359765,456136887,12/16/2024 05:28:41 PM,12/16/2024 05:30:48 PM,50.235.136.171,NA,NA,NA,NA,18.50
How much do you earn per hour?,118765358960,456136887,12/16/2024 05:26:20 PM,12/16/2024 05:29:32 PM,174.194.199.132,NA,NA,NA,NA,NA
How much do you earn per hour?,118765358414,456136887,12/16/2024 05:25:24 PM,12/16/2024 05:27:30 PM,50.235.136.171,NA,NA,NA,NA,NA
How much do you earn per hour?,118765355856,456136887,12/16/2024 05:17:01 PM,12/16/2024 05:21:39 PM,50.235.136.171,NA,NA,NA,NA,NA
