"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Zipcode_Group","Count"
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94601",2
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94602",14
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94603",2
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94605",14
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94606",10
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94607",9
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94608",12
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94609",11
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94610",7
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94611",9
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94612",1
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94613",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94618",1
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94619",12
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94621",4
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94704",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94705",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"94720",0
"Destiny Arts Center","Camp Destiny","Summer 2023","Summer Academic & Enrichment","Terry Hill",108,"Homeless/Transitioning",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94601",43
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94602",2
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94603",5
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94605",13
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94606",1
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94607",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94608",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94609",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94610",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94611",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94612",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94613",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94618",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94619",2
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94621",25
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94704",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94705",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"94720",0
"East Bay Consortium of Educational Institutions, Inc","Pre-Collegiate Academy","Summer 2023","Summer Academic & Enrichment","Annie Hines",91,"Homeless/Transitioning",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94601",12
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94602",7
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94603",35
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94605",44
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94606",13
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94607",12
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94608",4
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94609",2
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94610",1
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94611",1
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94612",6
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94613",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94618",1
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94619",11
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94621",37
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94704",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94705",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"94720",0
"East Oakland Youth Development Center","EOYDC Summer Cultural Enrichment Program (SCEP)","Summer 2023","Summer Academic & Enrichment","Terry Hill",186,"Homeless/Transitioning",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94601",5
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94602",2
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94603",2
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94605",9
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94606",5
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94607",8
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94608",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94609",1
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94610",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94611",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94612",1
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94613",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94618",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94619",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94621",14
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94704",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94705",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"94720",0
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"Homeless/Transitioning",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94601",14
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94602",2
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94603",6
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94605",20
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94606",3
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94607",1
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94608",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94609",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94610",4
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94611",1
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94612",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94613",1
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94618",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94619",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94621",5
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94704",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94705",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"94720",0
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"Homeless/Transitioning",0
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94601",23
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94602",8
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94603",9
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94605",8
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94606",24
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94607",12
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94608",2
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94609",0
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94610",3
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94611",1
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94612",0
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94613",0
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94618",0
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94619",9
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94621",9
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94704",0
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"94705",0
